uniqid_eco4,US_L4CODE,US_L4NAME,NA_L3CODE,areakm2
119,16i,South Clearwater Forested Mountains,6.2.15,6984.7
120,16j,Hot Dry Canyons,6.2.15,3908.5
121,16k,Southern Forested Mountains,6.2.15,26084.4
122,17a,Black Hills Foothills,6.2.10,7337.8
123,17aa,Dry Intermontane Sagebrush Valleys,6.2.10,11434.3
124,17ab,Dry Gneissic-Schistose-Volcanic Hills,6.2.10,13092.2
125,17ac,Big Hole,6.2.10,1637.8
126,17ad,Western Beaverhead Mountains,6.2.10,661.5
127,17ae,Forested Beaverhead Mountains,6.2.10,1160.9
128,17af,Centennial Basin,6.2.10,555.3
129,17ag,Pioneer-Anaconda Ranges,6.2.10,2552.5
130,17ah,Eastern Pioneer Sedimentary Mountains,6.2.10,817.8
131,17ai,Elkhorn Mountains-Boulder Batholith,6.2.10,3906.6
132,17aj,Eastern Divide Mountains,6.2.10,1721.4
133,17ak,Deer Lodge-Philipsburg-Avon Grassy Intermontane Hills and Valleys,6.2.10,2971.6
134,17al,Southern Garnet Sedimentary-Volcanic Mountains,6.2.10,988.8
135,17am,Flint Creek-Anaconda Mountains,6.2.10,2104.2
136,17ao,Absaroka Volcanic Subalpine Zone,6.2.10,3503.2
137,17ap,Sedimentary Subalpine Zone,6.2.10,5149.2
138,17b,Black Hills Plateau,6.2.10,4743.2
139,17c,Black Hills Core Highlands,6.2.10,1854.9
140,17d,Eastern Gravelly Mountains,6.2.10,677.0
141,17e,Barren Mountains,6.2.10,6891.6
142,17f,Crazy Mountains,6.2.10,830.3
143,17g,Mid-elevation Sedimentary Mountains,6.2.10,9608.5
144,17h,Alpine Zone,6.2.10,10987.4
145,17i,Absaroka-Gallatin Volcanic Mountains,6.2.10,8410.4
146,17j,Yellowstone Plateau,6.2.10,8158.8
147,17k,Granitic Subalpine Zone,6.2.10,5709.7
148,17l,Gneissic-Schistose Forested Mountains,6.2.10,3371.0
149,17m,Dry Mid-elevation Sedimentary Mountains,6.2.10,5061.3
150,17n,High Elevation Valleys,6.2.10,2824.5
151,17o,Partly Forested Mountains,6.2.10,5840.9
152,17p,Foothill Potholes,6.2.10,647.5
153,17q,Big Snowy-Little Belt Carbonate Mountains,6.2.10,4637.5
154,17r,Scattered Eastern Igneous-Core Mountains,6.2.10,2284.8
155,17s,Bitterroot-Frenchtown Valley,6.2.10,1803.7
156,17t,Limy Foothill Savanna,6.2.10,1160.0
157,17u,Paradise Valley,6.2.10,415.2
158,17v,Big Belt Forested Highlands,6.2.10,1565.0
159,17w,Townsend Basin,6.2.10,6931.6
160,17x,Rattlesnake-Blackfoot-South Swan-Northern Garnet-Sapphire Mountains,6.2.10,8256.3
161,17y,Townsend-Horseshoe-London Sedimentary Hills,6.2.10,1494.1
162,17z,Tobacco Root Mountains,6.2.10,701.6
163,18a,Rolling Sagebrush Steppe,10.1.4,65325.9
164,18b,Bighorn Basin,10.1.4,9657.0
165,18c,Sub-Irrigated High Valleys,10.1.4,7114.6
166,18d,Foothill Shrublands and Low Mountains,10.1.4,22006.5
167,18e,Salt Desert Shrub Basins,10.1.4,11850.5
168,18f,Laramie Basin,10.1.4,4751.7
169,18g,Bighorn Salt Desert Shrub Basins,10.1.4,11975.6
170,19a,Alpine Zone,6.2.13,1344.2
171,19b,Uinta Subalpine Forests,6.2.13,1869.2
172,19c,Mid-Elevation Uinta Mountains,6.2.13,4351.2
173,19d,Wasatch Montane Zone,6.2.13,9840.5
174,19e,High Plateaus,6.2.13,7808.4
175,19f,Semiarid Foothills,6.2.13,16981.4
176,19g,Mountain Valleys,6.2.13,3498.9
177,1a,Coastal Lowlands,7.1.8,3410.2
178,1b,Coastal Uplands,7.1.8,6813.3
179,1c,Low Olympics,7.1.8,4428.3
180,1d,Volcanics,7.1.8,9285.8
181,1e,Outwash,7.1.8,918.1
182,1f,Willapa Hills,7.1.8,5261.4
183,1g,Mid-Coastal Sedimentary,7.1.8,9691.9
184,1h,Southern Oregon Coastal Mountains,7.1.8,1770.7
185,1i,Northern Franciscan Redwood Forest,7.1.8,3864.2
186,1j,King Range/Mattole Basin,7.1.8,1902.7
187,1k,Coastal Franciscan Redwood Forest,7.1.8,4294.2
188,1l,Fort Bragg/Fort Ross Terraces,7.1.8,483.2
189,1m,Point Reyes/Farallon Islands,7.1.8,254.2
190,1n,Santa Cruz Mountains,7.1.8,1586.8
191,1o,San Mateo Coastal Hills,7.1.8,285.2
192,20a,Monticello-Cortez Uplands,10.1.6,3338.5
193,20b,Shale Deserts and Sedimentary Basins,10.1.6,17200.0
194,20c,Semiarid Benchlands and Canyonlands,10.1.6,69317.9
195,20d,Arid Canyonlands,10.1.6,16757.3
196,20e,Escarpments,10.1.6,13722.6
197,20f,Uinta Basin Floor,10.1.6,6871.5
198,20g,Northern Uinta Basin Slopes,10.1.6,1830.6
199,20h,Sand Deserts,10.1.6,5343.2
200,20i,Cold Desert Sagebrush-Grasslands,10.1.6,2194.1
201,21a,Alpine Zone,6.2.14,9968.5
202,21b,Crystalline Subalpine Forests,6.2.14,15841.7
203,21c,Crystalline Mid-Elevation Forests,6.2.14,20170.3
204,21d,Foothill Shrublands,6.2.14,29377.3
205,21e,Sedimentary Subalpine Forests,6.2.14,17467.6
206,21f,Sedimentary Mid-Elevation Forests,6.2.14,27512.1
207,21g,Volcanic Subalpine Forests,6.2.14,11584.1
208,21h,Volcanic Mid-Elevation Forests,6.2.14,4489.2
209,21i,Sagebrush Parks,6.2.14,5332.4
210,21j,Grassland Parks,6.2.14,3957.9
211,22a,San Luis Shrublands and Hills,10.1.7,3341.9
212,22aa,Hualapai/Coconino Woodlands,10.1.7,5578.4
213,22b,San Luis Alluvial Flats and Wetlands,10.1.7,3322.8
214,22c,Salt Flats,10.1.7,2242.1
215,22d,Virgin/Shivwits Woodland,10.1.7,1833.8
216,22e,Sand Dunes and Sand Sheets,10.1.7,659.0
217,22f,Taos Plateau,10.1.7,2172.1
218,22g,Rio Grande Floodplain,10.1.7,939.3
219,22h,North Central New Mexico Valleys and Mesas,10.1.7,3591.7
220,22i,San Juan/Chaco Tablelands and Mesas,10.1.7,17778.2
221,22j,Semiarid Tablelands,10.1.7,32866.0
222,22k,Lava Malpais,10.1.7,620.0
223,22l,Plains of San Agustin,10.1.7,2634.0
224,22m,Albuquerque Basin,10.1.7,7469.8
225,22n,Near-Rockies Valleys and Mesas,10.1.7,2553.4
226,22o,Northeast Arizona Shrub-Grasslands,10.1.7,9958.9
227,22p,Little Colorado Valley/Painted Desert,10.1.7,5543.3
228,22q,Dinetah Tablelands,10.1.7,10844.8
229,22r,Mesa Highlands,10.1.7,1893.1
230,22s,Hopi Buttes,10.1.7,980.9
231,22t,Chinle Valley and Mesas,10.1.7,4824.3
232,22u,Kaibito/Moenkopi Sandy Plateaus,10.1.7,7975.3
233,22v,Marble Platform,10.1.7,2335.4
234,22w,Grand Canyon,10.1.7,2992.9
235,22x,Arizona Strip Plateaus,10.1.7,4529.7
236,22y,Uinkaret/Aubrey Montane Conifer Forest,10.1.7,457.0
237,22z,Chino/Coconino Grasslands and Shrubsteppe,10.1.7,6921.4
238,23a,Chihuahuan Desert Slopes,13.1.1,2161.8
239,23b,Madrean Lower Montane Woodlands,13.1.1,27846.0
240,23c,Montane Conifer Forests,13.1.1,25596.9
241,23d,Arizona/New Mexico Subalpine Forests,13.1.1,1899.7
242,23e,Conifer Woodlands and Savannas,13.1.1,24337.1
243,23f,Rocky Mountain Conifer Forests,13.1.1,4292.7
244,23g,Rocky Mountain Subalpine Forests,13.1.1,116.5
245,23h,Lower Mogollon Transition,13.1.1,14272.4
246,23i,Montane and Subalpine Grasslands,13.1.1,340.7
247,23j,Northern Woodlands and Sagebrush,13.1.1,5229.6
248,23k,Sunset Crater Volcanics,13.1.1,315.7
249,23l,Mogollon Transition Conifer Forests,13.1.1,4500.0
250,24a,Chihuahuan Basins and Playas,10.2.4,69852.9
251,24b,Chihuahuan Desert Grasslands,10.2.4,46965.6
252,24c,Low Mountains and Bajadas,10.2.4,31280.7
253,24d,Chihuahuan Montane Woodlands,10.2.4,3700.5
254,24e,Stockton Plateau,10.2.4,8726.4
255,24f,Rio Grande Floodplain,10.2.4,1836.9
256,24g,Gypsiferous Dunes,10.2.4,960.6
257,24h,Lava Malpais,10.2.4,735.9
258,25a,Pine Ridge Escarpment,9.4.1,5433.6
259,25b,Rolling Sand Plains,9.4.1,27431.6
260,25c,Moderate Relief Plains,9.4.1,32680.9
261,25d,Flat to Rolling Plains,9.4.1,84042.2
262,25e,Canadian/Cimarron High Plains,9.4.1,22213.9
263,25f,Pine Bluffs and Hills,9.4.1,5404.0
264,25g,Sandy and Silty Tablelands,9.4.1,8582.2
265,25h,Platte River Valley and Terraces,9.4.1,6677.6
266,25i,Llano Estacado,9.4.1,59987.9
267,25j,Shinnery Sands,9.4.1,15528.7
268,25k,Arid Llano Estacado,9.4.1,18312.4
269,25l,Front Range Fans,9.4.1,2024.2
270,26a,Canadian/Cimarron Breaks,9.4.3,28561.3
271,26b,Flat Tablelands and Valleys,9.4.3,16717.5
272,26c,"Caprock Canyons, Badlands, and Breaks",9.4.3,26813.9
273,26d,Semiarid Canadian Breaks,9.4.3,12123.6
274,26e,Piedmont Plains and Tablelands,9.4.3,34585.5
275,26f,Mesa de Maya/Black Mesa,9.4.3,4013.4
276,26g,Purgatoire Hills and Canyons,9.4.3,2696.3
277,26h,Pinyon-Juniper Woodlands and Savannas,9.4.3,10941.5
278,26i,Pine-Oak Woodlands,9.4.3,1503.7
279,26j,Foothill Grasslands,9.4.3,4674.6
280,26k,Sandsheets,9.4.3,1466.4
281,26l,Upper Canadian Plateau,9.4.3,14625.9
282,26m,Canadian Canyons,9.4.3,3986.6
283,26n,Conchas/Pecos Plains,9.4.3,10602.5
284,26o,Central New Mexico Plains,9.4.3,18905.0
285,26p,Pluvial Lake Basins,9.4.3,1334.0
286,26q,Southern New Mexico Dissected Plains,9.4.3,5278.6
287,27a,Smoky Hills,9.4.2,20289.8
288,27b,Rolling Plains and Breaks,9.4.2,64075.8
289,27c,Great Bend Sand Prairie,9.4.2,10664.6
290,27d,Prairie Tableland,9.4.2,33364.6
291,27e,Central Nebraska Loess Plains,9.4.2,17104.4
292,27f,Rainwater Basin Plains,9.4.2,19086.1
293,27g,Platte River Valley,9.4.2,7928.8
294,27h,Red Prairie,9.4.2,27687.0
295,27i,Broken Red Plains,9.4.2,18748.9
296,27j,Limestone Plains,9.4.2,11999.5
297,27k,Wichita Mountains,9.4.2,945.4
298,27l,Pleistocene Sand Dunes,9.4.2,6730.7
299,27m,Red River Tablelands,9.4.2,2699.8
300,27n,Gypsum Hills,9.4.2,1440.0
301,27o,Cross Timbers Transition,9.4.2,15282.4
302,27p,Salt Plains,9.4.2,160.0
303,27q,Rolling Red Hills,9.4.2,16488.1
304,27r,Limestone Hills,9.4.2,266.9
305,28a,Flint Hills,9.4.4,27932.2
306,29a,Northern Cross Timbers,9.4.5,23616.2
307,29b,Eastern Cross Timbers,9.4.5,6763.4
308,29c,Western Cross Timbers,9.4.5,23265.9
309,29d,Grand Prairie,9.4.5,8762.6
310,29e,Limestone Cut Plain,9.4.5,15816.9
311,29f,Carbonate Cross Timbers,9.4.5,2105.2
312,29g,Arbuckle Uplift,9.4.5,2528.7
313,29h,Northwestern Cross Timbers,9.4.5,4791.6
314,29i,Arbuckle Mountains,9.4.5,537.8
315,2a,Fraser Lowland,7.1.7,916.8
316,2b,Eastern Puget Riverine Lowlands,7.1.7,1751.0
317,2c,San Juan Islands,7.1.7,599.6
318,2d,Olympic Rainshadow,7.1.7,2029.7
319,2e,Eastern Puget Uplands,7.1.7,2947.8
320,2f,Central Puget Lowland,7.1.7,4587.5
321,2g,Southern Puget Prairies,7.1.7,2095.3
322,2h,Cowlitz/Chehalis Foothills,7.1.7,1117.9
323,2i,Cowlitz/Newaukum Prairie Floodplains,7.1.7,925.3
324,30a,Edwards Plateau Woodland,9.4.6,24331.5
325,30b,Llano Uplift,9.4.6,4333.9
326,30c,Balcones Canyonlands,9.4.6,17597.8
327,30d,Semiarid Edwards Plateau,9.4.6,28700.8
328,31a,Northern Nueces Alluvial Plains,9.6.1,7101.1
329,31b,Semiarid Edwards Bajada,9.6.1,2214.2
330,31c,Texas-Tamaulipan Thornscrub,9.6.1,43333.4
331,31d,Rio Grande Floodplain and Terraces,9.6.1,774.3
332,32a,Northern Blackland Prairie,9.4.7,35813.2
333,32b,Southern Blackland/Fayette Prairie,9.4.7,6612.2
334,32c,Floodplains and Low Terraces,9.4.7,956.7
335,33a,Northern Post Oak Savanna,8.3.8,13346.8
336,33b,Southern Post Oak Savanna,8.3.8,36122.0
337,33c,San Antonio Prairie,8.3.8,1111.6
338,33d,Northern Prairie Outliers,8.3.8,1089.4
339,33e,Bastrop Lost Pines,8.3.8,227.0
340,33f,Floodplains and Low Terraces,8.3.8,3855.8
341,34a,Northern Humid Gulf Coastal Prairies,9.5.1,30018.4
342,34b,Southern Subhumid Gulf Coastal Prairies,9.5.1,10097.1
343,34c,Floodplains and Low Terraces,9.5.1,4902.6
344,34d,Coastal Sand Plain,9.5.1,9198.8
345,34e,Lower Rio Grande Valley,9.5.1,4245.3
346,34f,Lower Rio Grande Alluvial Floodplain,9.5.1,1780.8
347,34g,Texas-Louisiana Coastal Marshes,9.5.1,7290.9
348,34h,Mid-Coast Barrier Islands and Coastal Marshes,9.5.1,3071.2
349,34i,Laguna Madre Barrier Islands and Coastal Marshes,9.5.1,1942.0
350,34j,Lafayette Loess Plains,9.5.1,2859.8
351,35a,Tertiary Uplands,8.3.7,59225.5
352,35b,Floodplains and Low Terraces,8.3.7,9030.0
353,35c,Pleistocene Fluvial Terraces,8.3.7,16668.6
354,35d,Cretaceous Dissected Uplands,8.3.7,8418.6
355,35e,Southern Tertiary Uplands,8.3.7,35132.7
356,35f,Flatwoods,8.3.7,14145.0
357,35g,Red River Bottomlands,8.3.7,7700.5
358,35h,Blackland Prairie,8.3.7,1811.0
359,36a,Athens Plateau,8.4.8,4819.6
360,36b,Central Mountain Ranges,8.4.8,3662.9
361,36c,"Central Hills, Ridges, and Valleys",8.4.8,3153.3
362,36d,Fourche Mountains,8.4.8,9075.7
363,36e,Western Ouachitas,8.4.8,4694.7
364,36f,Western Ouachita Valleys,8.4.8,1489.7
365,37a,Scattered High Ridges and Mountains,8.4.7,3309.5
366,37b,Arkansas River Floodplain,8.4.7,1424.4
367,37c,Arkansas Valley Hills,8.4.7,7177.4
368,37d,Arkansas Valley Plains,8.4.7,9684.1
369,37e,Lower Canadian Hills,8.4.7,6825.9
370,38a,Upper Boston Mountains,8.4.6,4036.6
371,38b,Lower Boston Mountains,8.4.6,10140.9
372,39a,Springfield Plateau,8.4.5,19429.0
373,39b,Dissected Springfield Plateau-Elk River Hills,8.4.5,10644.6
374,39c,White River Hills,8.4.5,12274.6
375,39d,Central Plateau,8.4.5,24485.6
376,39e,Osage/Gasconade Hills,8.4.5,13053.5
377,39f,St. Francois Knobs and Basins,8.4.5,4118.2
378,39g,Meramec River Hills,8.4.5,4600.6
379,39h,Current River Hills,8.4.5,8065.4
380,39i,Eastern Ozark Border,8.4.5,4752.7
381,39j,Black River Hills Border,8.4.5,2787.0
382,39k,Prairie Ozark Border,8.4.5,2180.1
383,3a,Portland/Vancouver Basin,7.1.9,1487.5
384,3b,Willamette River and Tributaries Gallery Forest,7.1.9,1747.5
385,3c,Prairie Terraces,7.1.9,5105.0
386,3d,Valley Foothills,7.1.9,6544.6
387,40a,Loess Flats and Till Plains,9.2.4,43967.8
388,40b,Osage Cuestas,9.2.4,36033.4
389,40c,Wooded Osage Plains,9.2.4,13860.3
390,40d,Cherokee Plains,9.2.4,9848.8
391,40e,Claypan Prairie,9.2.4,10613.6
392,41a,Northern Front,6.2.4,1554.2
393,41b,Crestal Alpine-Subalpine Zone,6.2.4,3581.5
394,41c,Western Canadian Rockies,6.2.4,9360.7
395,41d,Southern Carbonate Front,6.2.4,2915.0
396,41e,Flathead Thrust Faulted Carbonate-Rich Mountains,6.2.4,1468.3
397,42a,Missouri Coteau,9.3.1,23623.7
398,42b,Collapsed Glacial Outwash,9.3.1,4885.4
399,42c,Miissouri Coteau Slope,9.3.1,15004.8
400,42d,Northern Missouri Coteau,9.3.1,4497.0
401,42e,Southern Missouri Coteau,9.3.1,6169.5
402,42f,Southern Missouri Coteau Slope,9.3.1,12103.0
403,42g,Ponca Plains,9.3.1,2871.3
404,42h,Southern River Breaks,9.3.1,3844.3
405,42i,Glaciated Dark Brown Prairie,9.3.1,20671.4
406,42j,Glaciated Northern Grasslands,9.3.1,29893.0
407,42k,Coteau Lakes Upland,9.3.1,1003.1
408,42l,Sweetgrass Uplands,9.3.1,466.6
409,42m,Cherry Patch Moraines,9.3.1,2418.7
410,42n,Milk River Pothole Upland,9.3.1,670.0
411,42o,North Central Brown Glaciated Plains,9.3.1,29370.6
412,42p,Holt Tablelands,9.3.1,3629.1
413,42q,Rocky Mountain Front Foothill Potholes,9.3.1,2495.7
414,42r,Foothill Grassland,9.3.1,11266.0
415,43a,Missouri Plateau,9.3.3,61590.5
416,43b,Little Missouri Badlands,9.3.3,6509.4
417,43c,River Breaks,9.3.3,37785.4
418,43d,Forested Buttes,9.3.3,1094.4
419,43e,Sagebrush Steppe,9.3.3,16549.3
420,43f,Subhumid Pierre Shale Plains,9.3.3,19537.5
421,43g,Semiarid Pierre Shale Plains,9.3.3,18224.8
422,43h,White River Badlands,9.3.3,5531.7
423,43i,Keya Paha Tablelands,9.3.3,10699.8
424,43j,Moreau Prairie,9.3.3,10717.3
425,43k,Dense Clay Prairie,9.3.3,3672.0
426,43l,Missouri Breaks Woodland-Scrubland,9.3.3,8288.8
427,43m,Judith Basin Grassland,9.3.3,7724.2
428,43n,Montana Central Grasslands,9.3.3,59732.2
429,43o,Unglaciated Montana High Plains,9.3.3,9779.5
430,43p,Pine Scoria Hills,9.3.3,16423.3
431,43q,Mesic Dissected Plains,9.3.3,6036.4
432,43r,Niobrara River Breaks,9.3.3,1270.4
433,43s,Non-calcareous Foothill Grassland,9.3.3,5373.9
434,43t,Shield-Smith Valleys,9.3.3,4023.1
435,43u,Limy Foothill Grassland,9.3.3,3247.9
436,43v,Pryor-Bighorn Foothills,9.3.3,5669.4
437,43w,Powder River Basin,9.3.3,34690.2
438,43x,Casper Arch,9.3.3,3411.2
439,44a,Sand Hills,9.3.4,39162.8
440,44b,Alkaline Lakes Area,9.3.4,3723.6
441,44c,Wet Meadow and Marsh Plain,9.3.4,4918.3
442,44d,Lakes Area,9.3.4,11317.9
443,45a,Southern Inner Piedmont,8.3.4,20362.7
444,45b,Southern Outer Piedmont,8.3.4,68102.5
445,45c,Carolina Slate Belt,8.3.4,20693.2
446,45d,Talladega Upland,8.3.4,2537.2
447,45e,Northern Inner Piedmont,8.3.4,29989.3
448,45f,Northern Outer Piedmont,8.3.4,18177.0
449,45g,Triassic Basins,8.3.4,4710.5
450,45h,Pine Mountain Ridges,8.3.4,794.7
451,45i,Kings Mountain,8.3.4,749.6
452,46a,Pembina Escarpment,9.2.1,704.0
453,46b,Turtle Mountains,9.2.1,1046.5
454,46c,Glacial Lake Basins,9.2.1,9281.7
455,46d,Glacial Lake Deltas,9.2.1,4862.1
456,46e,Tewaukon/Big Stone Stagnation Moraine,9.2.1,7245.3
457,46f,End Moraine Complex,9.2.1,3932.1
458,46g,Northern Black Prairie,9.2.1,13019.9
459,46h,Northern Dark Brown Prairie,9.2.1,2838.6
460,46i,Drift Plains,9.2.1,40426.5
461,46j,Glacial Outwash,9.2.1,2304.6
462,46k,Prairie Coteau,9.2.1,15518.6
463,46l,Prairie Coteau Escarpment,9.2.1,1986.1
464,46m,Big Sioux Basin,9.2.1,4947.8
465,46n,James River Lowland,9.2.1,23925.5
466,46o,Minnesota River Prairie,9.2.1,2767.1
467,47a,Loess Prairies,9.2.3,16938.0
468,47b,Des Moines Lobe,9.2.3,62477.8
469,47c,Eastern Iowa and Minnesota Drift Plains,9.2.3,29022.2
470,47d,Missouri Alluvial Plain,9.2.3,8021.9
471,47e,Steeply Rolling Loess Prairies,9.2.3,14899.7
472,47f,Rolling Loess Prairies,9.2.3,46227.5
473,47g,Lower St. Croix and Vermillion Valleys,9.2.3,3094.6
474,47h,Nebraska/Kansas Loess Hills,9.2.3,8626.8
475,47i,Loess and Glacial Drift Hills,9.2.3,16730.1
476,47j,Lower Platte Alluvial Plain,9.2.3,1135.7
477,47k,Northeastern Nebraska Loess Hills,9.2.3,13980.9
478,47l,Transitional Sandy Plain,9.2.3,2705.0
479,47m,Western Loess Hills,9.2.3,4282.7
480,48a,Glacial Lake Agassiz Basin,9.2.2,25449.6
481,48b,Beach Ridges and Sand Deltas,9.2.2,9323.5
