uniqid_huc10,chlor_high1992_huc10,chlor_high1997_huc10,chlor_high2002_huc10,chlor_high2007_huc10,chlor_high2012_huc10,chlor_low1992_huc10,chlor_low1997_huc10,chlor_low2002_huc10,chlor_low2007_huc10,chlor_low2012_huc10
23,5.1648,1.2557,0.4850,0.8016,0.9066,0.0018,0.5616,0.1461,0.3447,0.8115
24,2.3082,3.4010,0.9613,0.2008,0.6119,1.9801,3.1220,0.2918,0.1755,0.4765
25,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
26,0.1170,0.0420,0.0065,0.0339,0.0109,0.1120,0.0250,0.0008,0.0102,0.0036
27,0.0025,0.0022,0.0000,0.0000,0.0000,0.0025,0.0022,0.0000,0.0000,0.0000
28,0.0008,0.0003,0.0022,0.0016,0.0084,0.0008,0.0002,0.0022,0.0016,0.0066
29,2.1832,1.0140,0.2606,1.5557,0.1950,1.9239,0.5144,0.2187,1.5106,0.1423
30,0.3307,0.2478,0.5392,0.1882,0.3559,0.0142,0.1789,0.5343,0.1872,0.2647
31,0.0993,0.0872,0.0869,0.0581,0.0859,0.0993,0.0872,0.0869,0.0581,0.0859
32,0.3815,1.0169,0.4677,0.7183,0.4674,0.3815,1.0169,0.4677,0.7183,0.4674
33,0.2009,0.8291,0.2209,0.1916,0.3824,0.0964,0.4530,0.2020,0.0429,0.3589
34,0.0000,0.0000,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,0.0002
35,0.1515,0.2678,0.0109,0.1133,0.0037,0.1499,0.2677,0.0076,0.0847,0.0034
36,0.7851,0.3272,0.2225,0.3133,0.1676,0.6151,0.3030,0.2112,0.3002,0.1205
37,0.0793,0.6119,0.0129,0.0503,0.0683,0.0022,0.0000,0.0086,0.0490,0.0683
38,0.8176,0.6674,1.2453,0.4342,0.8937,0.0430,0.5043,1.2331,0.4311,0.6315
39,0.7792,0.1391,0.0253,0.0256,0.4432,0.7307,0.0925,0.0013,0.0195,0.4405
40,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
41,1.5005,0.3521,0.2063,0.4300,1.8737,0.1041,0.2300,0.1567,0.0231,0.3014
42,0.8537,0.1552,0.5312,1.7562,0.6294,0.0207,0.0000,0.4802,1.7402,0.1483
43,0.0006,0.0136,0.0230,0.0344,0.0025,0.0000,0.0003,0.0216,0.0319,0.0016
44,0.0007,0.0008,0.0004,0.0001,0.0000,0.0007,0.0001,0.0000,0.0001,0.0000
45,0.0868,0.2313,0.1185,0.1820,0.1158,0.0868,0.2313,0.1185,0.1820,0.1158
46,0.6534,0.6240,1.3985,0.5266,0.7542,0.0182,0.4556,1.3895,0.5225,0.7175
47,0.0721,0.0615,0.1099,0.0312,0.1369,0.0397,0.0519,0.1090,0.0294,0.1274
48,0.0260,0.0694,0.0225,0.0346,0.0235,0.0260,0.0694,0.0225,0.0346,0.0235
49,0.3404,0.5150,0.0701,0.3966,0.0447,0.2162,0.3689,0.0455,0.0676,0.0232
50,0.0009,0.0023,0.0099,0.0151,0.0081,0.0009,0.0023,0.0099,0.0151,0.0081
51,0.6367,0.9381,0.2708,0.0566,0.1710,0.5462,0.8612,0.0822,0.0495,0.1332
52,2.1814,0.9850,0.5214,0.6172,3.0282,0.3631,0.0393,0.1621,0.2731,2.8866
53,0.0081,0.0038,0.0013,0.0007,0.0026,0.0080,0.0001,0.0000,0.0007,0.0000
54,0.1841,0.4908,0.2112,0.3243,0.1998,0.1841,0.4908,0.2112,0.3243,0.1998
55,0.0742,0.1978,0.0887,0.1362,0.0860,0.0742,0.1978,0.0887,0.1362,0.0860
56,0.0003,0.0016,0.0007,0.0036,0.0027,0.0001,0.0014,0.0007,0.0031,0.0027
57,0.1677,0.1646,0.0849,0.0302,0.0460,0.1461,0.0416,0.0291,0.0302,0.0225
58,0.1764,0.2387,0.0176,0.1129,0.0980,0.1163,0.1554,0.0064,0.0630,0.0650
59,0.1727,0.1643,0.3650,0.2330,0.3553,0.0531,0.1399,0.3076,0.1208,0.2388
60,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
61,0.2636,0.3296,0.0336,0.3009,0.0967,0.1682,0.2889,0.0082,0.0908,0.0788
62,0.0002,0.0033,0.0031,0.0022,0.0021,0.0000,0.0000,0.0030,0.0011,0.0019
63,0.0394,0.0649,0.0516,0.0164,0.0423,0.0193,0.0041,0.0014,0.0164,0.0327
64,0.0008,0.0009,0.0002,0.0000,0.0000,0.0008,0.0009,0.0002,0.0000,0.0000
65,0.1967,0.5008,0.3999,0.4470,0.0612,0.1515,0.4013,0.3948,0.3169,0.0453
66,0.1748,0.1049,0.0647,0.3090,0.0167,0.0612,0.0929,0.0029,0.0282,0.0151
67,0.0012,0.0298,0.0047,0.0039,0.0092,0.0000,0.0005,0.0020,0.0019,0.0019
68,0.0012,0.0071,0.0003,0.0010,0.0011,0.0006,0.0001,0.0003,0.0006,0.0011
69,0.0371,0.0395,0.0588,0.0144,0.0246,0.0115,0.0288,0.0161,0.0117,0.0172
70,1.1106,1.6768,0.3560,0.2118,0.1108,1.1017,1.6154,0.3087,0.0344,0.0864
71,0.0000,0.0002,0.0003,0.0004,0.0002,0.0000,0.0002,0.0003,0.0004,0.0002
72,0.0202,0.1394,0.2129,0.3167,0.1856,0.0131,0.1372,0.2124,0.3125,0.1851
73,0.6081,1.0752,0.9153,0.4447,0.0589,0.0505,0.0132,0.8687,0.0020,0.0205
74,0.0006,0.0001,0.0007,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000
75,1.1636,0.7352,3.1467,0.4588,1.1165,0.0748,0.4916,3.1079,0.4559,0.6076
76,0.1472,2.4135,0.0679,0.2405,0.2913,0.0547,0.0087,0.0528,0.0316,0.2505
77,1.5411,1.6676,1.9149,0.6610,0.6884,1.5411,1.6676,1.9149,0.6610,0.6884
78,2.6975,4.4877,0.3445,0.7902,0.5357,2.3129,0.6322,0.2682,0.3382,0.4550
79,0.1154,0.3076,0.1318,0.2024,0.1378,0.1154,0.3076,0.1318,0.2024,0.1378
80,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
81,0.6843,0.4472,0.9731,0.2498,0.4351,0.0344,0.1287,0.8341,0.1749,0.3574
82,2.0356,0.9038,0.7005,0.4736,1.2340,0.1951,0.0196,0.1265,0.0902,1.0702
83,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
84,0.5694,0.4306,0.2039,0.1666,0.0965,0.5694,0.4306,0.2039,0.1666,0.0965
85,0.0001,0.0001,0.0000,0.0000,0.0000,0.0001,0.0001,0.0000,0.0000,0.0000
86,0.7463,0.2341,0.5724,0.5190,0.6273,0.0793,0.0179,0.4700,0.4114,0.1489
87,0.9425,0.1820,0.2148,2.4404,0.9956,0.0255,0.0531,0.2054,2.4382,0.1699
88,0.3780,0.0588,0.0580,1.2234,0.5359,0.0090,0.0217,0.0498,1.2233,0.0799
89,0.0136,0.2608,0.0717,0.0491,0.0296,0.0044,0.0003,0.0689,0.0244,0.0293
90,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
91,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
92,0.2612,0.7395,0.1128,0.0549,0.1974,0.1516,0.6718,0.1079,0.0286,0.1836
93,0.5513,1.0919,0.6819,0.4158,0.1633,0.5513,1.0919,0.6819,0.4158,0.1633
94,1.0086,2.3150,0.3031,0.0509,0.1797,1.0027,2.2532,0.2201,0.0289,0.1498
95,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
96,0.4425,0.4864,0.9498,0.4997,0.8427,0.1985,0.4327,0.9443,0.4956,0.7353
97,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
98,0.3922,0.5764,0.4663,0.3927,0.5023,0.3578,0.1678,0.2551,0.3829,0.3685
99,1.1090,1.0160,0.4651,0.4408,3.1959,0.3521,0.8319,0.3756,0.3958,3.0797
100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
101,0.0005,0.0006,0.0000,0.0000,0.0000,0.0005,0.0006,0.0000,0.0000,0.0000
102,0.5960,0.8781,0.2125,0.0444,0.1349,0.5113,0.8061,0.0645,0.0388,0.1050
103,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000
104,0.0101,0.0181,0.0531,0.0036,0.0088,0.0101,0.0181,0.0531,0.0036,0.0088
105,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
106,0.1281,0.1044,0.2036,0.1323,0.5044,0.0022,0.0010,0.0019,0.1107,0.4963
107,0.0797,0.3740,0.0400,0.0234,0.0661,0.0784,0.3662,0.0217,0.0031,0.0631
108,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
109,0.0002,0.0022,0.0007,0.0038,0.0004,0.0000,0.0000,0.0005,0.0037,0.0002
110,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
111,7.1839,19.2254,8.3519,12.7734,8.7163,7.1839,19.2254,8.3519,12.7734,8.7163
112,0.0151,0.3878,0.0456,0.0492,0.0332,0.0084,0.0005,0.0449,0.0057,0.0331
113,0.0088,0.1442,0.0042,0.0149,0.0186,0.0033,0.0005,0.0033,0.0020,0.0160
114,0.0388,0.0446,0.0263,0.0085,0.2894,0.0169,0.0044,0.0060,0.0084,0.2165
115,0.0134,0.0154,0.0129,0.0041,0.1766,0.0058,0.0015,0.0029,0.0041,0.1322
116,0.0325,0.0386,0.0497,0.0551,0.0345,0.0135,0.0238,0.0170,0.0012,0.0179
117,0.2671,0.0628,0.0094,0.0116,0.2965,0.2146,0.0271,0.0013,0.0083,0.2225
118,0.0004,0.0076,0.0062,0.0173,0.0016,0.0000,0.0001,0.0053,0.0170,0.0010
119,0.0034,0.0090,0.0096,0.0095,0.0125,0.0007,0.0088,0.0089,0.0075,0.0124
120,0.0230,0.0276,0.0064,0.1184,0.0161,0.0177,0.0269,0.0009,0.0082,0.0155
121,0.0091,0.0462,0.0201,0.0188,0.0411,0.0000,0.0006,0.0201,0.0006,0.0411
122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
123,0.0020,0.0063,0.0016,0.0007,0.0007,0.0017,0.0024,0.0000,0.0000,0.0000
124,0.3559,0.1043,0.4122,0.4003,0.1372,0.0155,0.0001,0.3954,0.3863,0.0809
125,0.0001,0.0001,0.0031,0.0010,0.0758,0.0000,0.0000,0.0007,0.0010,0.0567
126,0.0310,0.0826,0.0790,0.1213,0.0817,0.0310,0.0826,0.0790,0.1213,0.0817
127,0.8523,0.6435,0.3441,0.1958,0.3409,0.7000,0.5445,0.2437,0.0139,0.2336
128,0.0037,0.0028,0.0058,0.0047,0.0030,0.0037,0.0028,0.0058,0.0047,0.0030
129,0.0000,0.0001,0.0016,0.0014,0.0117,0.0000,0.0000,0.0016,0.0014,0.0117
130,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
131,0.0000,0.0005,0.0003,0.0005,0.0000,0.0000,0.0000,0.0003,0.0005,0.0000
132,0.0023,0.0443,0.0365,0.1023,0.0025,0.0000,0.0008,0.0311,0.1003,0.0016
133,7.5238,20.9190,9.1249,13.4139,9.3144,7.5238,20.9190,9.1249,13.4139,9.3144
134,13.4193,35.7643,15.3627,23.5941,15.8551,13.4193,35.7643,15.3627,23.5941,15.8551
135,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
136,1.1712,0.7718,0.3482,0.2872,0.7242,0.1632,0.1137,0.0918,0.1216,0.6267
137,0.3275,0.2385,0.5598,0.9283,0.5891,0.0681,0.2041,0.5538,0.9281,0.3021
138,0.0000,0.0003,0.0002,0.0002,0.0012,0.0000,0.0000,0.0002,0.0001,0.0011
139,0.0095,0.0300,0.0147,0.0259,0.0007,0.0073,0.0002,0.0119,0.0234,0.0004
140,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
141,15.2895,13.4288,13.1544,8.7898,12.9953,15.2895,13.4288,13.1544,8.7898,12.9953
142,0.0000,0.0000,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000
143,0.0000,0.0001,0.0000,0.0000,0.0064,0.0000,0.0000,0.0000,0.0000,0.0063
144,0.0003,0.0014,0.0002,0.0001,0.0000,0.0003,0.0009,0.0001,0.0001,0.0000
145,0.0018,0.0052,0.0071,0.0026,0.0017,0.0018,0.0043,0.0027,0.0026,0.0012
146,2.0969,0.9969,0.2611,1.6601,0.1732,1.8412,0.4581,0.2217,1.6171,0.1244
147,0.2232,0.3977,0.1825,0.1754,0.0463,0.2232,0.3977,0.1825,0.1754,0.0463
148,0.0178,0.0280,0.0228,0.0073,0.0026,0.0094,0.0021,0.0009,0.0073,0.0019
149,0.9695,1.8398,1.2987,0.7966,0.5425,0.9695,1.8398,1.2987,0.7966,0.5425
150,1.2327,0.5673,4.7291,0.4048,1.5868,0.1997,0.2509,4.5529,0.2539,0.1181
151,1.0046,1.5739,0.3038,0.2217,2.1525,0.6647,1.5020,0.1229,0.1212,2.0468
152,0.0062,0.0092,0.0024,0.0081,0.0026,0.0047,0.0077,0.0015,0.0069,0.0019
153,0.0241,0.0181,0.0047,0.0359,0.0168,0.0115,0.0140,0.0005,0.0052,0.0124
154,1.7864,2.1511,0.3555,0.3176,1.3212,1.4605,1.9736,0.0768,0.1310,1.1866
155,2.3783,1.0210,0.7151,0.6376,4.0052,0.4562,0.0827,0.1399,0.2958,3.8176
156,0.2647,0.4623,0.4134,0.3395,0.0626,0.0849,0.1265,0.4041,0.0176,0.0117
157,0.1959,0.2109,0.2456,0.0870,0.0898,0.1959,0.2109,0.2456,0.0870,0.0898
158,0.0434,0.8811,0.1474,0.1223,0.1700,0.0145,0.0043,0.1455,0.0051,0.1339
159,0.6170,0.1444,0.0579,0.1350,0.1154,0.6042,0.1424,0.0576,0.1325,0.1119
160,0.0005,0.0013,0.0000,0.0000,0.0000,0.0005,0.0013,0.0000,0.0000,0.0000
161,0.1418,0.0774,0.0465,0.0546,0.2444,0.0952,0.0682,0.0398,0.0503,0.2408
162,0.2792,0.4703,0.0962,0.0711,0.2812,0.2076,0.3651,0.0836,0.0140,0.2648
163,4.4128,2.3985,0.9573,0.9600,4.1428,0.4713,0.0624,0.1594,0.3657,3.9375
164,0.0149,0.0394,0.1923,0.0431,0.0858,0.0082,0.0000,0.1922,0.0013,0.0000
165,0.7362,2.2410,1.2091,1.4459,0.2428,0.7272,2.2315,1.2090,1.4407,0.1958
166,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
167,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
168,0.0028,0.0099,0.0075,0.0019,0.0046,0.0028,0.0099,0.0075,0.0019,0.0046
169,1.4861,0.5576,0.8974,1.3601,1.8268,0.1394,0.3612,0.6584,1.0654,0.5243
170,0.0699,0.2556,0.2069,0.0528,0.0431,0.0699,0.2556,0.2069,0.0528,0.0431
171,0.2256,0.0258,0.0099,0.9325,0.3752,0.0046,0.0006,0.0092,0.9325,0.0038
172,0.0000,0.0016,0.0002,0.0001,0.0004,0.0000,0.0015,0.0000,0.0001,0.0004
173,3.3461,3.6266,4.0363,1.5512,1.4729,3.3461,3.6266,4.0363,1.5512,1.4729
174,0.0282,0.0286,0.0591,0.0255,0.0443,0.0102,0.0000,0.0430,0.0209,0.0290
175,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
176,1.3289,1.3878,0.3616,0.1267,0.2751,1.3208,1.3615,0.2453,0.1259,0.2546
177,0.0000,0.0004,0.0001,0.0008,0.0002,0.0000,0.0000,0.0001,0.0007,0.0001
178,0.0110,0.0351,0.0093,0.0041,0.0040,0.0096,0.0131,0.0001,0.0002,0.0000
179,0.2402,0.0699,0.1691,0.1545,0.6847,0.0004,0.0030,0.0081,0.1248,0.6664
180,1.9149,1.9516,0.2054,0.3608,1.5003,0.7403,0.1592,0.0389,0.2569,0.9233
181,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
182,0.0000,0.0000,0.0000,0.0000,0.0112,0.0000,0.0000,0.0000,0.0000,0.0112
183,0.9381,0.4421,0.0720,0.0428,0.1262,0.9283,0.0111,0.0025,0.0428,0.0011
184,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
185,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
186,0.0001,0.0013,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
187,1.3071,2.0630,0.3828,0.2768,2.6010,0.8650,1.9694,0.1522,0.1488,2.4719
188,2.4022,0.5377,0.2058,0.2673,1.1946,0.0357,0.0898,0.0281,0.0618,1.1666
189,0.0002,0.0021,0.0009,0.0006,0.0011,0.0001,0.0000,0.0009,0.0002,0.0010
190,0.1424,0.0500,0.1405,0.1603,0.0925,0.0108,0.0000,0.1233,0.1511,0.0175
191,0.0120,0.0015,0.0038,0.1028,0.0000,0.0018,0.0006,0.0000,0.0000,0.0000
192,0.0038,0.0084,0.0119,0.0017,0.0781,0.0010,0.0006,0.0012,0.0016,0.0518
193,0.0024,0.0409,0.0151,0.0107,0.0071,0.0006,0.0002,0.0149,0.0056,0.0067
194,0.0021,0.0002,0.0009,0.0017,0.0000,0.0015,0.0002,0.0000,0.0000,0.0000
195,0.3269,0.7467,0.3228,0.0971,0.3537,0.0000,0.0046,0.0000,0.0000,0.1692
196,0.0054,0.0096,0.0257,0.0017,0.0051,0.0054,0.0096,0.0257,0.0017,0.0051
197,0.0002,0.0006,0.0007,0.0007,0.0008,0.0000,0.0006,0.0006,0.0005,0.0008
198,0.0001,0.0004,0.0002,0.0001,0.0001,0.0000,0.0000,0.0002,0.0000,0.0001
199,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
200,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0001
201,0.0004,0.0006,0.0001,0.0003,0.0003,0.0003,0.0005,0.0001,0.0003,0.0002
202,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
203,1.5233,1.5908,0.4132,0.1448,0.3029,1.5140,1.5606,0.2803,0.1438,0.2804
204,0.4164,0.2409,1.4726,0.1224,0.6194,0.1217,0.1147,1.3981,0.1199,0.0434
205,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
206,0.1896,0.1938,0.1756,0.0211,0.0493,0.0333,0.1285,0.0105,0.0106,0.0190
207,0.2108,0.1132,0.3389,0.2614,1.5558,0.0036,0.0097,0.0007,0.2053,1.5491
208,0.0023,0.0003,0.0010,0.0020,0.0000,0.0016,0.0002,0.0000,0.0000,0.0000
209,5.5303,2.3020,0.8354,1.1497,1.3248,0.0144,0.6024,0.1716,0.4344,1.2024
210,0.0008,0.0038,0.0025,0.0048,0.0018,0.0007,0.0000,0.0006,0.0047,0.0017
211,0.1550,0.0476,0.0255,0.0678,0.0894,0.1268,0.0319,0.0148,0.0476,0.0125
212,0.0000,0.0000,0.0000,0.0000,0.0003,0.0000,0.0000,0.0000,0.0000,0.0003
213,0.1421,0.2532,0.1156,0.1111,0.0349,0.1421,0.2532,0.1156,0.1111,0.0349
214,0.0007,0.0045,0.0018,0.0072,0.0008,0.0002,0.0000,0.0010,0.0069,0.0006
215,0.0048,0.0086,0.0234,0.0016,0.0029,0.0048,0.0086,0.0234,0.0016,0.0029
216,0.0037,0.0126,0.0021,0.0009,0.0021,0.0034,0.0067,0.0002,0.0002,0.0006
217,0.0089,0.0615,0.0864,0.1286,0.0852,0.0058,0.0605,0.0862,0.1269,0.0850
218,0.0465,0.0558,0.0671,0.0211,0.0496,0.0273,0.0395,0.0572,0.0112,0.0183
219,0.1223,0.0390,0.0625,0.3148,0.1229,0.0087,0.0215,0.0560,0.3147,0.0450
220,1.3105,0.3203,1.5800,1.8864,0.4249,0.0589,0.0000,1.4494,1.8439,0.2284
221,0.1051,0.1702,0.1134,0.0470,0.0544,0.0268,0.0306,0.1112,0.0047,0.0075
222,2.7305,1.0682,0.7797,0.9530,5.1664,0.4904,0.0710,0.2211,0.4649,4.9710
223,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
224,0.7424,3.0126,0.6639,0.4194,1.1014,0.0000,0.0018,0.0000,0.0000,0.4998
225,0.5847,0.1528,0.1063,0.1902,0.4609,0.5547,0.1337,0.0899,0.1793,0.4184
226,2.8049,0.9891,0.1516,0.8038,0.2212,2.6702,0.5848,0.0188,0.2431,0.0500
227,0.0001,0.0000,0.0007,0.0001,0.0002,0.0000,0.0000,0.0000,0.0001,0.0000
228,0.0211,0.0495,0.1243,0.0505,0.0882,0.0049,0.0346,0.0660,0.0504,0.0133
229,0.0014,0.0007,0.0002,0.0001,0.0005,0.0014,0.0000,0.0000,0.0001,0.0000
230,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
231,0.0098,0.0157,0.0148,0.0056,0.0158,0.0002,0.0017,0.0040,0.0044,0.0153
232,0.0106,0.1960,0.0916,0.0425,0.0592,0.0056,0.0002,0.0912,0.0033,0.0386
233,0.0000,0.0000,0.0001,0.0006,0.0006,0.0000,0.0000,0.0001,0.0005,0.0006
234,0.0001,0.0004,0.0001,0.0001,0.0017,0.0000,0.0000,0.0001,0.0000,0.0017
235,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
236,0.0007,0.0008,0.0002,0.0000,0.0001,0.0007,0.0008,0.0002,0.0000,0.0001
237,0.9919,1.7678,0.8474,0.8148,0.2169,0.9919,1.7678,0.8474,0.8148,0.2169
238,0.0456,0.0358,0.0111,0.0071,0.0271,0.0353,0.0031,0.0110,0.0022,0.0257
239,0.6722,0.1573,0.0615,0.1435,0.1379,0.6582,0.1551,0.0611,0.1408,0.1336
240,0.0029,0.0119,0.0005,0.0014,0.0052,0.0005,0.0000,0.0005,0.0002,0.0052
241,0.0240,0.0245,0.0246,0.0030,0.0077,0.0042,0.0162,0.0015,0.0015,0.0030
242,0.0238,0.0635,0.0272,0.0418,0.0336,0.0238,0.0635,0.0272,0.0418,0.0336
243,0.0653,0.1076,0.0761,0.0242,0.0534,0.0319,0.0068,0.0021,0.0242,0.0414
244,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
245,0.0015,0.0214,0.0072,0.0367,0.0023,0.0000,0.0003,0.0051,0.0356,0.0010
246,0.6016,0.2543,3.2329,0.1014,0.3254,0.0729,0.0708,3.1984,0.1009,0.0368
247,0.2299,0.2019,0.2018,0.1349,0.1472,0.2299,0.2019,0.2018,0.1349,0.1472
248,0.0003,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000
249,4.9604,6.7345,2.3217,2.7162,2.6726,4.9604,6.7345,2.3217,2.7162,2.6726
250,0.0978,0.1937,0.0839,0.0512,0.0224,0.0978,0.1937,0.0839,0.0512,0.0224
251,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
252,0.0100,0.0029,0.0022,0.0026,0.0011,0.0002,0.0000,0.0019,0.0006,0.0011
253,0.0092,0.0106,0.0059,0.0019,0.0796,0.0040,0.0011,0.0014,0.0019,0.0596
254,2.9055,1.3308,0.3475,0.9313,0.8995,0.0712,0.9408,0.1866,0.5351,0.7702
255,0.0004,0.0071,0.0010,0.0015,0.0028,0.0003,0.0000,0.0010,0.0004,0.0027
256,0.8325,0.4428,0.4607,0.3780,0.4701,0.6426,0.3611,0.3263,0.0797,0.2296
257,0.0025,0.0018,0.0006,0.0002,0.0005,0.0024,0.0001,0.0000,0.0002,0.0001
258,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
259,0.0048,0.0061,0.0050,0.0007,0.0016,0.0013,0.0046,0.0004,0.0004,0.0008
260,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
261,0.2535,0.1400,0.3732,0.2628,0.4078,0.0974,0.1204,0.3674,0.2585,0.3475
262,0.5060,0.8351,0.6219,0.2702,0.3177,0.1352,0.1647,0.6094,0.0261,0.0418
263,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
264,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
