uniqid_huc10,meto_high1992_huc10,meto_high1997_huc10,meto_high2002_huc10,meto_high2007_huc10,meto_high2012_huc10,meto_low1992_huc10,meto_low1997_huc10,meto_low2002_huc10,meto_low2007_huc10,meto_low2012_huc10
79,0.0053,0.0108,0.0054,0.0118,0.0312,0.0053,0.0108,0.0054,0.0118,0.0312
80,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
81,0.8864,3.3712,2.5798,2.6123,4.3004,0.6785,3.3608,2.2946,1.8245,3.0860
82,4.4141,16.6846,9.6868,7.5860,12.0153,4.2759,16.6268,9.2887,6.1872,10.6598
83,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
84,0.0037,0.0046,0.0419,0.0024,0.0550,0.0037,0.0046,0.0419,0.0024,0.0550
85,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
86,0.7054,0.6925,1.5529,1.2206,3.0924,0.0000,0.5972,0.3913,0.6364,0.0026
87,0.0606,0.0698,0.2101,0.1269,2.1230,0.0000,0.0073,0.1312,0.0082,1.7671
88,0.0428,0.0529,0.1160,0.0705,0.9198,0.0069,0.0046,0.1160,0.0020,0.8725
89,0.0281,0.1046,0.0364,0.0187,0.0230,0.0134,0.0118,0.0365,0.0187,0.0190
90,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
91,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
92,0.0266,0.1443,0.0438,0.0611,0.1506,0.0223,0.0188,0.0204,0.0114,0.0125
93,0.0251,0.0154,0.0516,0.0031,0.0473,0.0251,0.0154,0.0516,0.0031,0.0473
94,4.7941,3.7916,1.1675,4.6337,4.6500,4.6989,3.7732,1.1083,4.4099,4.5860
95,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
96,0.1797,0.1549,0.1236,0.0890,0.7411,0.1419,0.0944,0.1159,0.0173,0.6379
97,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
98,0.2230,0.4316,0.4058,0.3224,1.9236,0.1989,0.3521,0.2785,0.3188,0.9446
99,6.0767,2.6026,2.3322,2.8802,2.1934,6.0767,2.4919,1.9860,0.5102,1.8450
100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
101,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
102,0.1067,0.0692,0.0739,0.0366,0.0347,0.1045,0.0000,0.0091,0.0359,0.0246
103,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
104,0.0008,0.0020,0.0012,0.0141,0.0048,0.0008,0.0020,0.0012,0.0141,0.0048
105,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
106,0.1235,0.6142,0.9162,0.9478,0.9334,0.1233,0.0047,0.1215,0.0031,0.0000
107,0.4153,0.3402,0.1201,0.4209,0.5077,0.4140,0.2965,0.0991,0.3844,0.4930
108,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
109,0.0022,0.0003,0.0002,0.0002,0.0002,0.0022,0.0000,0.0002,0.0002,0.0002
110,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
111,0.3290,0.6762,0.3654,0.7536,1.9765,0.3290,0.6762,0.3654,0.7536,1.9765
112,0.0051,0.0054,0.0022,0.0021,0.0064,0.0020,0.0019,0.0023,0.0021,0.0038
113,0.0611,0.0461,0.0172,0.0310,0.0613,0.0000,0.0000,0.0000,0.0001,0.0020
114,0.0309,0.1203,0.0131,0.0277,0.0156,0.0000,0.0000,0.0027,0.0000,0.0030
115,0.0107,0.0417,0.0064,0.0135,0.0095,0.0000,0.0000,0.0013,0.0000,0.0018
116,0.0958,0.1604,0.0954,0.1466,0.1996,0.0038,0.1588,0.0807,0.1433,0.1968
117,0.1287,0.1672,0.0530,0.0594,0.1176,0.1175,0.1267,0.0358,0.0011,0.0000
118,0.0018,0.0023,0.0007,0.0003,0.0010,0.0018,0.0003,0.0007,0.0003,0.0010
119,0.0055,0.0181,0.0164,0.0095,0.0583,0.0026,0.0077,0.0126,0.0083,0.0012
120,0.0135,0.0238,0.0065,0.0051,0.0102,0.0007,0.0000,0.0000,0.0000,0.0000
121,0.0018,0.0042,0.0014,0.0006,0.0070,0.0018,0.0042,0.0011,0.0005,0.0067
122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
123,0.0001,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000
124,0.0573,0.0810,0.4480,0.3831,2.1319,0.0000,0.0396,0.0000,0.0699,0.0000
125,0.0001,0.0003,0.0015,0.0032,0.0041,0.0000,0.0000,0.0003,0.0000,0.0008
126,0.0014,0.0029,0.0032,0.0071,0.0185,0.0014,0.0029,0.0032,0.0071,0.0185
127,2.4434,3.2832,1.6871,2.7985,5.2894,2.0203,3.2487,1.5854,2.5814,5.0418
128,0.0000,0.0000,0.0012,0.0001,0.0017,0.0000,0.0000,0.0012,0.0001,0.0017
129,0.0000,0.0000,0.0000,0.0000,0.0005,0.0000,0.0000,0.0000,0.0000,0.0001
130,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
131,0.0004,0.0003,0.0001,0.0001,0.0000,0.0004,0.0000,0.0001,0.0001,0.0000
132,0.0106,0.0132,0.0044,0.0017,0.0015,0.0106,0.0017,0.0041,0.0017,0.0015
133,0.3434,0.7501,0.6274,0.8769,2.1666,0.3434,0.7501,0.6274,0.8769,2.1666
134,0.6149,1.2552,0.6307,1.3765,3.5856,0.6149,1.2552,0.6307,1.3765,3.5856
135,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
136,6.5186,11.8401,7.4774,10.7698,7.2123,6.4628,11.8340,7.0934,9.6188,6.9146
137,0.0362,0.0294,0.0289,0.0523,0.2441,0.0009,0.0017,0.0235,0.0156,0.1937
138,0.0000,0.0000,0.0000,0.0000,0.0020,0.0000,0.0000,0.0000,0.0000,0.0002
139,0.0177,0.0323,0.0047,0.0043,0.0004,0.0134,0.0152,0.0047,0.0043,0.0004
140,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
141,0.0093,0.0588,0.0193,0.0000,0.0947,0.0093,0.0588,0.0193,0.0000,0.0947
142,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0001
143,0.0000,0.0000,0.0000,0.0000,0.0253,0.0000,0.0000,0.0000,0.0000,0.0021
144,0.0001,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000
145,0.0018,0.0033,0.0075,0.0084,0.0034,0.0017,0.0000,0.0003,0.0057,0.0031
146,1.5345,4.7963,0.8276,1.3402,2.6402,1.4275,2.5532,0.6295,1.2402,2.5060
147,0.0000,0.0203,0.0009,0.0066,0.0081,0.0000,0.0203,0.0009,0.0066,0.0081
148,0.0137,0.0378,0.0461,0.0299,0.0109,0.0094,0.0316,0.0343,0.0299,0.0039
149,0.0408,0.0253,0.0924,0.0056,0.1382,0.0408,0.0253,0.0924,0.0056,0.1382
150,0.4454,0.5636,0.2770,1.4913,2.0772,0.2942,0.1052,0.0185,0.2054,1.7453
151,4.5537,2.5388,3.8473,6.1579,4.5304,4.5537,2.4855,3.1177,0.5162,3.8250
152,0.0032,0.0451,0.0313,0.0285,0.0832,0.0032,0.0427,0.0250,0.0214,0.0823
153,0.0260,0.0415,0.0134,0.0479,0.6805,0.0023,0.0237,0.0027,0.0000,0.6018
154,6.9874,3.1807,4.5763,7.3290,5.1241,6.9127,2.8490,3.5759,0.2311,3.8075
155,4.9874,14.0647,5.3538,11.4476,13.0338,4.8232,14.0317,4.8621,10.6998,12.8018
156,0.2204,3.3647,0.5870,0.4114,0.5831,0.2169,3.3463,0.4132,0.0979,0.5353
157,0.0001,0.0000,0.0005,0.0003,0.0014,0.0001,0.0000,0.0005,0.0003,0.0014
158,0.0588,0.4376,0.0326,0.0623,0.8292,0.0255,0.0411,0.0323,0.0623,0.0075
159,0.0005,0.0001,0.0000,0.0000,0.0015,0.0000,0.0000,0.0000,0.0000,0.0010
160,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
161,0.3599,0.1614,0.1994,0.2276,0.0685,0.3594,0.1611,0.1777,0.0314,0.0597
162,0.0926,0.6736,0.0962,0.3004,0.5834,0.0767,0.1215,0.0749,0.1636,0.1727
163,8.1964,29.2791,7.4686,19.7103,16.7114,7.9427,29.2359,6.2525,18.2061,16.4034
164,1.3364,0.0722,0.0472,0.5810,0.5566,0.0000,0.0722,0.0472,0.5810,0.5566
165,0.7085,6.6643,1.9320,2.5924,2.4723,0.7068,6.6641,0.9762,2.5891,1.9381
166,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
167,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
168,0.0009,0.0024,0.0005,0.0001,0.0001,0.0009,0.0024,0.0005,0.0001,0.0001
169,0.4388,0.2005,0.2795,0.7846,0.3978,0.3897,0.0756,0.0135,0.2214,0.1140
170,0.0234,0.0649,0.0144,0.0024,0.0005,0.0234,0.0649,0.0144,0.0024,0.0005
171,0.0280,0.0176,0.0229,0.0538,1.0593,0.0000,0.0000,0.0214,0.0072,0.9976
172,0.0002,0.0000,0.0000,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000
173,0.0031,0.0130,0.0136,0.0152,0.0337,0.0031,0.0130,0.0136,0.0152,0.0337
174,0.0102,0.0467,0.3195,0.1951,2.4113,0.0000,0.0443,0.0000,0.0698,0.0045
175,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
176,0.3005,0.0635,0.0818,0.0792,0.0427,0.2996,0.0000,0.0110,0.0792,0.0138
177,0.0004,0.0001,0.0000,0.0000,0.0001,0.0004,0.0000,0.0000,0.0000,0.0001
178,0.0004,0.0000,0.0000,0.0000,0.0000,0.0004,0.0000,0.0000,0.0000,0.0000
179,0.0313,0.1974,0.1646,0.2608,0.2067,0.0313,0.0023,0.0112,0.0017,0.0028
180,1.0748,2.8921,4.6553,3.1937,3.9584,0.0000,1.1068,1.3536,2.4634,0.3734
181,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
182,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
183,0.0278,0.1091,0.0288,0.0234,0.7190,0.0084,0.1091,0.0120,0.0234,0.0657
184,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
185,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
186,0.0003,0.0004,0.0000,0.0000,0.0000,0.0003,0.0000,0.0000,0.0000,0.0000
187,5.9512,3.3228,4.8994,7.8539,5.5452,5.9512,3.2526,3.9678,0.6569,4.6814
188,0.7587,2.6169,1.2650,2.3604,3.2147,0.7491,2.6102,1.1867,2.1479,3.1997
189,0.0004,0.0022,0.0004,0.0012,0.0027,0.0001,0.0007,0.0004,0.0012,0.0007
190,0.0214,0.0944,0.2548,0.1747,2.7570,0.0000,0.0896,0.0000,0.0640,0.0000
191,0.0202,0.0365,0.0195,0.0015,0.0000,0.0000,0.0001,0.0001,0.0000,0.0000
192,0.0096,0.0145,0.0131,0.0135,0.0028,0.0000,0.0000,0.0005,0.0000,0.0005
193,0.0029,0.0015,0.0009,0.0009,0.0120,0.0006,0.0006,0.0009,0.0009,0.0012
194,0.0037,0.1146,0.0317,0.0169,0.0000,0.0037,0.1146,0.0317,0.0169,0.0000
195,0.1193,0.2644,1.1046,2.8447,2.8892,0.0210,0.2491,0.0000,0.0000,1.4253
196,0.0004,0.0011,0.0006,0.0068,0.0028,0.0004,0.0011,0.0006,0.0068,0.0028
197,0.0004,0.0013,0.0011,0.0007,0.0038,0.0002,0.0005,0.0009,0.0006,0.0001
198,0.0001,0.0008,0.0001,0.0003,0.0002,0.0000,0.0003,0.0001,0.0003,0.0001
199,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
201,0.0002,0.0029,0.0012,0.0011,0.0108,0.0002,0.0028,0.0010,0.0008,0.0107
202,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
203,0.3445,0.0728,0.0935,0.0904,0.0470,0.3434,0.0000,0.0125,0.0904,0.0152
204,0.2280,0.2012,0.1077,0.6043,1.0334,0.1638,0.0497,0.0083,0.0946,0.9686
205,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
206,0.0092,0.0117,0.0058,0.0075,0.0259,0.0087,0.0001,0.0023,0.0075,0.0261
207,0.0177,0.0717,0.0619,0.1190,0.1944,0.0147,0.0097,0.0084,0.0025,0.0000
208,0.0040,0.1235,0.0383,0.0204,0.0001,0.0040,0.1235,0.0381,0.0203,0.0001
209,1.9310,6.3458,6.7480,9.1245,18.7767,1.9065,5.9720,5.5612,8.1094,18.7518
210,0.0020,0.0003,0.0002,0.0002,0.0001,0.0020,0.0000,0.0001,0.0002,0.0001
211,0.1633,0.1585,0.3539,0.2596,0.0611,0.0000,0.1517,0.0712,0.2053,0.0037
212,0.0000,0.0000,0.0000,0.0000,0.0031,0.0000,0.0000,0.0000,0.0000,0.0031
213,0.0000,0.0129,0.0006,0.0042,0.0061,0.0000,0.0129,0.0006,0.0042,0.0061
214,0.0041,0.0008,0.0004,0.0004,0.0002,0.0041,0.0003,0.0003,0.0004,0.0002
215,0.0004,0.0009,0.0005,0.0062,0.0016,0.0004,0.0009,0.0005,0.0062,0.0016
216,0.0003,0.0001,0.0001,0.0000,0.0001,0.0003,0.0000,0.0000,0.0000,0.0001
217,0.0066,0.0118,0.0171,0.0044,0.0018,0.0038,0.0021,0.0040,0.0040,0.0014
218,0.1089,0.5591,0.2301,0.2560,0.4389,0.0080,0.5388,0.1084,0.2049,0.3265
219,0.0333,0.0279,0.0433,0.0616,0.2391,0.0068,0.0045,0.0433,0.0024,0.2329
220,0.3321,1.3250,1.2936,1.2831,4.5824,0.0000,1.2920,0.0000,0.2694,0.0000
221,0.1353,1.7906,0.2518,0.2183,0.1288,0.1336,1.7856,0.2082,0.1563,0.1247
222,8.4755,17.7406,7.3790,15.0696,12.4150,8.2956,17.6833,6.6881,13.3748,11.9412
223,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
224,0.1726,1.1113,4.8482,14.2725,9.6337,0.0702,1.1113,0.0000,0.0000,4.6777
225,0.1856,0.0740,0.1060,0.0314,0.0494,0.0000,0.0683,0.0662,0.0254,0.0443
226,1.3622,1.8029,0.7436,2.8073,6.3582,0.0054,0.0167,0.1672,0.1361,2.8800
227,0.0001,0.0002,0.0019,0.0008,0.0004,0.0000,0.0002,0.0013,0.0008,0.0001
228,0.0917,0.0524,0.0762,0.0644,0.0154,0.0021,0.0002,0.0508,0.0052,0.0011
229,0.0000,0.0002,0.0001,0.0001,0.0028,0.0000,0.0002,0.0000,0.0001,0.0003
230,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
231,0.0065,0.0522,0.0729,0.0839,0.0923,0.0064,0.0016,0.0001,0.0001,0.0019
232,0.1008,0.0071,0.0059,0.0623,0.0707,0.0010,0.0055,0.0060,0.0623,0.0676
233,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
234,0.0000,0.0000,0.0000,0.0000,0.0003,0.0000,0.0000,0.0000,0.0000,0.0003
235,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
236,0.0002,0.0000,0.0000,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000
237,0.0000,0.0904,0.0040,0.0307,0.0377,0.0000,0.0904,0.0040,0.0307,0.0377
238,0.0129,0.0281,0.0219,0.0196,0.0008,0.0129,0.0068,0.0198,0.0189,0.0003
239,0.0005,0.0001,0.0000,0.0000,0.0019,0.0000,0.0000,0.0000,0.0000,0.0012
240,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
241,0.0012,0.0015,0.0008,0.0011,0.0041,0.0011,0.0000,0.0003,0.0011,0.0041
242,0.0011,0.0022,0.0011,0.0024,0.0076,0.0011,0.0022,0.0011,0.0024,0.0076
243,0.0542,0.1514,0.1567,0.1015,0.2327,0.0377,0.1266,0.1165,0.1015,0.0846
244,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
245,0.0215,0.0028,0.0021,0.0018,0.0010,0.0215,0.0003,0.0015,0.0018,0.0010
246,0.1227,0.0523,0.0547,0.2499,0.3650,0.1123,0.0092,0.0184,0.0467,0.3233
247,0.0001,0.0009,0.0003,0.0000,0.0011,0.0001,0.0009,0.0003,0.0000,0.0011
248,0.0002,0.0004,0.0002,0.0001,0.0003,0.0002,0.0003,0.0002,0.0001,0.0003
249,0.1038,0.1835,0.0675,0.0803,0.0799,0.1038,0.1835,0.0675,0.0803,0.0799
250,0.0044,0.0027,0.0064,0.0004,0.0065,0.0044,0.0027,0.0064,0.0004,0.0065
251,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
252,0.0065,0.0131,0.0044,0.0033,0.0078,0.0061,0.0119,0.0044,0.0033,0.0078
253,0.0074,0.0286,0.0030,0.0063,0.0043,0.0000,0.0000,0.0006,0.0000,0.0008
254,2.7505,6.7461,5.4342,10.2086,17.3950,2.6251,6.4434,4.5313,8.8740,16.7849
255,0.0001,0.0001,0.0000,0.0000,0.0006,0.0000,0.0000,0.0000,0.0000,0.0001
256,3.6296,4.8425,2.5841,3.9611,9.6647,3.1449,4.7718,1.6227,3.6820,7.1633
257,0.0002,0.0010,0.0006,0.0006,0.0039,0.0001,0.0010,0.0004,0.0006,0.0015
258,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
259,0.0003,0.0003,0.0002,0.0002,0.0007,0.0003,0.0000,0.0001,0.0002,0.0007
260,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
261,0.0435,0.0648,0.0398,0.0356,0.2535,0.0261,0.0116,0.0364,0.0079,0.1940
262,0.7606,8.9213,1.3960,1.1704,0.7839,0.7526,8.8938,1.1570,0.8295,0.7510
263,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
264,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
