uniqid_huc10,RIP_NWALT12_11_huc10,RIP_NWALT12_12_huc10,RIP_NWALT12_21_huc10,RIP_NWALT12_22_huc10,RIP_NWALT12_23_huc10,RIP_NWALT12_24_huc10,RIP_NWALT12_25_huc10,RIP_NWALT12_26_huc10,RIP_NWALT12_27_huc10,RIP_NWALT12_31_huc10,RIP_NWALT12_32_huc10,RIP_NWALT12_33_huc10,RIP_NWALT12_41_huc10,RIP_NWALT12_43_huc10,RIP_NWALT12_44_huc10,RIP_NWALT12_45_huc10,RIP_NWALT12_46_huc10,RIP_NWALT12_50_huc10,RIP_NWALT12_60_huc10
12,0.00,0.00,0.19,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.18,0.00,0.00,0.00,0.22,91.30,8.09
13,0.28,0.29,1.01,1.04,0.04,0.22,1.54,3.98,0.75,8.68,13.86,0.39,0.18,0.88,0.19,0.05,0.91,65.68,0.00
14,0.01,0.00,0.24,0.00,0.04,0.00,0.00,0.00,0.32,0.00,0.00,0.00,0.00,0.99,0.03,0.00,0.00,62.03,36.34
15,0.01,0.00,0.18,0.01,0.00,0.00,0.00,0.03,0.01,0.00,2.75,0.00,0.00,0.00,0.00,0.00,1.49,95.53,0.00
16,2.02,0.05,0.51,0.29,0.84,0.02,0.55,1.36,0.43,0.01,0.71,0.15,0.00,47.05,10.47,4.79,16.60,14.15,0.00
17,0.31,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,2.27,14.79,82.53
18,0.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.00,5.57,0.00,0.00,92.50,1.38,0.00
19,0.03,0.38,0.09,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.86,74.63,0.00
20,1.09,0.03,0.43,0.46,0.22,0.45,0.00,2.29,1.09,0.00,11.35,0.00,0.22,3.02,24.33,3.08,1.93,50.01,0.00
21,0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.43,0.00
22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.76,45.24,0.00
23,1.44,0.19,1.52,0.34,0.00,0.56,0.79,0.51,0.22,0.00,0.86,0.00,0.04,54.65,3.85,0.75,23.62,10.65,0.00
24,1.00,5.72,0.30,0.11,0.02,0.29,0.00,1.97,1.29,0.00,7.55,0.02,0.00,7.59,1.52,0.08,1.53,69.12,1.90
25,0.17,0.00,0.99,0.04,0.01,0.00,0.00,0.07,0.02,0.00,1.06,0.00,0.08,0.00,0.00,0.00,1.03,96.52,0.00
26,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.46,0.12,0.04,77.56,21.76,0.00
27,0.00,0.21,0.02,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,73.73,25.94
28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.05,0.39,0.01,6.02,93.46,0.00
29,0.01,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.00,0.00,0.00,2.73,0.00,0.00,79.88,17.19,0.00
30,2.29,0.00,0.33,0.01,0.20,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.08,16.65,0.15,3.72,63.72,12.79,0.00
31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
32,0.00,0.00,0.00,0.01,0.00,0.02,0.00,0.00,0.30,0.00,0.01,0.00,0.16,1.05,0.39,0.08,25.06,72.91,0.00
33,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.81,0.00,0.14,0.00,0.02,1.02,0.00,0.10,33.84,64.05,0.00
34,0.12,0.00,0.79,0.00,0.00,0.08,0.00,0.00,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,98.66,0.00
35,0.20,0.98,0.16,0.00,0.00,0.00,0.00,0.00,0.24,0.00,0.00,0.00,0.00,0.56,0.20,2.63,7.40,87.63,0.00
36,0.56,0.01,0.48,0.26,0.00,0.00,0.00,0.49,0.27,0.00,0.34,0.00,0.00,2.22,2.15,0.84,41.58,50.80,0.00
37,0.01,0.00,0.31,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.05,1.36,1.14,22.68,67.88,6.54
38,4.63,0.00,0.69,0.05,0.08,0.26,0.03,0.24,0.15,0.00,0.53,0.00,0.00,38.65,0.18,7.13,38.76,8.63,0.00
39,1.20,0.00,0.72,0.46,0.04,0.52,0.09,1.12,0.56,0.01,0.91,0.00,0.00,2.63,12.68,4.47,38.38,36.22,0.00
40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,99.89
41,0.35,0.00,0.44,0.03,0.48,0.00,0.00,0.42,0.28,0.00,0.62,0.00,0.00,22.90,0.09,10.65,42.67,21.07,0.00
42,0.29,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.23,0.00,0.00,0.00,0.00,18.22,0.23,3.59,41.60,35.82,0.00
43,0.26,0.30,0.54,0.05,0.10,0.00,0.00,0.00,0.31,0.00,0.04,0.00,0.00,0.00,0.33,0.00,3.43,94.64,0.00
44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.73,61.24,0.03
45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.07,92.22,7.65
46,3.61,0.36,0.23,0.00,0.01,0.18,0.00,0.01,0.19,0.00,0.03,0.00,0.00,35.85,0.02,0.62,55.64,3.25,0.00
47,3.66,0.01,0.56,2.12,4.16,7.00,3.85,5.83,0.60,11.46,29.05,0.00,0.22,0.69,2.52,10.62,7.52,10.14,0.00
48,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.62,0.00,0.00,0.06,0.00,0.23,8.40,70.67,19.97
49,0.12,0.01,0.53,0.57,0.03,0.10,0.00,1.53,0.65,0.00,9.30,0.00,1.62,7.58,28.63,2.27,4.95,42.12,0.00
50,0.00,0.00,0.25,0.06,0.37,0.00,0.23,0.72,0.40,0.04,3.42,0.74,0.04,0.11,0.00,0.00,0.05,85.51,8.07
51,0.00,0.22,0.00,0.01,0.08,0.00,0.00,0.00,0.17,0.00,0.00,0.08,0.00,1.31,0.67,0.00,10.02,85.89,1.54
52,0.81,0.27,0.24,0.01,0.00,0.00,0.00,0.00,0.21,0.00,0.02,0.00,0.00,33.98,0.07,3.49,56.10,4.81,0.00
53,0.03,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.72,99.14,0.00
54,0.00,0.00,0.21,0.03,0.00,0.00,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.36,0.03,1.10,0.77,93.28,4.14
55,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.08,0.23,1.83,0.27,95.28,2.25
56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.00,29.48,65.33,5.06
57,0.01,0.02,0.08,0.02,0.00,0.00,0.00,0.00,0.27,0.00,0.00,0.00,0.03,0.01,2.16,0.22,4.98,92.18,0.00
58,0.36,0.00,0.26,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,1.25,0.14,0.18,9.58,88.04,0.00
59,0.00,0.00,0.94,0.01,0.76,0.02,0.00,0.00,0.25,0.00,0.05,0.00,0.47,24.57,0.01,0.32,29.69,42.92,0.00
60,0.00,0.00,0.41,0.05,0.00,0.00,0.00,0.00,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,89.62,9.28
61,0.05,0.01,0.27,0.01,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,13.28,10.18,3.36,16.01,56.52,0.00
62,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.03,0.32,0.00,0.84,98.77,0.00
63,0.00,0.00,0.32,0.05,0.00,0.00,0.00,0.03,0.11,0.00,0.69,0.00,0.00,0.75,0.07,0.00,15.79,82.18,0.00
64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.52,80.47,0.00
65,1.53,1.13,0.33,0.02,0.10,0.02,0.00,0.00,0.40,0.00,0.00,0.00,0.02,0.40,29.09,1.64,0.23,65.08,0.00
66,0.00,0.00,0.22,0.06,0.00,0.00,0.00,0.00,0.28,0.00,0.00,0.00,0.00,6.36,28.05,1.07,18.23,45.74,0.00
67,0.01,0.00,0.11,0.00,0.00,0.00,0.00,0.10,0.09,0.00,1.57,0.00,0.00,0.01,2.01,0.01,4.78,88.83,2.49
68,0.00,0.00,0.27,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.05,73.42,26.19,0.00
69,1.67,0.66,0.21,0.01,0.01,0.01,0.00,0.00,0.05,0.00,0.00,0.01,0.00,0.01,0.64,0.00,0.07,76.39,20.26
70,0.01,0.01,0.03,0.00,0.02,0.00,0.00,0.01,0.09,0.00,0.23,0.00,0.14,2.01,0.00,0.21,76.01,21.22,0.00
71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.75,52.25,0.00
72,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.02,0.23,0.00,0.02,0.00,0.01,1.19,0.27,0.00,9.54,88.65,0.00
73,0.01,0.18,0.80,0.45,0.03,0.24,0.67,0.64,0.71,0.10,1.84,0.00,0.15,12.22,31.60,1.35,1.57,47.46,0.00
74,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,70.41,29.33
75,2.49,0.04,0.13,0.00,0.05,0.00,0.00,0.00,0.24,0.00,0.00,0.00,0.14,49.00,0.28,6.09,32.38,9.15,0.00
76,0.12,0.00,0.61,0.08,0.00,0.02,0.01,0.25,0.55,0.01,2.90,0.00,0.00,1.38,19.39,0.29,0.49,71.58,2.32
77,0.06,0.10,1.58,2.39,0.86,1.14,4.81,2.04,2.23,2.78,2.37,0.00,0.03,2.55,1.41,0.24,4.26,70.69,0.44
78,0.58,1.60,0.45,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,40.30,0.09,0.21,39.57,17.04,0.00
79,0.00,0.00,0.21,0.02,0.01,0.00,0.00,0.14,0.06,0.00,0.93,0.00,0.02,0.54,0.00,0.00,0.01,91.21,6.86
80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.88,97.12,0.00
81,6.63,0.86,0.25,0.02,0.00,0.04,0.00,0.02,0.96,0.00,0.87,0.00,0.00,17.74,6.38,3.09,29.89,33.26,0.00
82,3.61,0.14,0.48,0.45,0.04,0.66,1.12,1.61,0.70,0.51,5.93,0.00,0.03,40.87,4.15,2.57,21.19,15.95,0.00
83,0.00,0.00,0.32,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.82,98.83,0.00
84,1.30,0.64,1.49,5.89,1.03,5.87,3.80,20.87,2.49,15.41,14.32,0.00,0.00,1.44,1.42,0.34,0.43,23.26,0.00
85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.67,95.33
86,2.95,0.00,0.40,0.00,0.00,0.00,0.00,0.08,0.36,0.00,0.55,0.00,0.00,11.94,0.31,0.05,9.88,73.48,0.00
87,0.47,0.00,0.21,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.00,0.00,0.00,16.68,0.18,8.05,40.27,33.91,0.00
88,0.57,0.00,0.31,0.02,0.00,0.00,0.00,0.09,0.31,0.00,0.20,0.00,0.00,3.80,0.03,8.23,37.24,49.20,0.00
89,0.35,0.06,0.08,0.04,0.01,0.00,0.00,0.08,0.23,0.00,1.15,0.00,0.00,2.17,0.02,0.01,2.41,91.90,1.50
90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.84,99.16,0.00
91,0.00,0.00,0.42,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.04,0.00,0.00,0.00,2.64,66.30,30.58
92,0.00,0.00,0.42,0.00,0.03,0.00,0.00,0.00,0.16,0.00,0.00,0.00,0.02,5.92,0.00,4.17,82.14,7.13,0.00
93,0.76,0.03,0.79,2.21,0.02,2.60,5.97,3.19,2.90,0.71,6.79,0.00,0.00,0.76,3.64,0.52,0.00,47.85,21.27
94,0.16,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.07,14.89,0.02,0.10,42.09,42.48,0.00
95,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.66,99.32,0.00
96,2.46,0.00,0.32,0.06,0.02,0.03,0.00,0.13,0.58,0.00,0.20,0.00,0.07,5.00,6.92,8.99,37.36,37.85,0.00
97,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.47,97.48,0.00
98,0.17,0.00,0.12,0.00,0.00,0.00,0.00,0.01,0.15,0.00,0.02,0.00,0.00,3.57,0.50,0.06,0.37,95.03,0.00
99,11.15,0.40,0.29,0.01,0.00,0.01,0.00,0.02,0.64,0.00,0.04,0.00,0.00,9.05,15.84,15.32,18.06,29.17,0.00
100,0.01,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.21,38.83,60.87
101,0.44,0.01,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,92.15,7.33
102,0.54,0.00,1.37,8.64,0.14,7.32,12.91,17.52,1.32,1.30,17.69,0.00,0.00,0.00,0.26,0.00,0.11,30.88,0.00
103,0.02,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,99.74,0.00
104,0.02,0.00,0.33,0.15,0.00,0.08,0.00,0.09,0.76,0.00,1.83,0.00,0.00,0.89,0.07,0.18,0.03,65.39,30.19
105,0.09,0.00,0.46,0.00,0.00,0.00,0.00,0.05,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.60,98.72,0.00
106,0.18,0.00,0.18,0.01,0.00,0.00,0.00,0.08,0.12,0.00,0.20,0.00,0.02,13.15,0.00,0.05,18.38,67.63,0.00
107,0.03,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.06,0.00,0.00,15.22,84.65,0.00
108,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,75.05,24.67
109,0.01,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.66,99.17,0.00
110,0.00,0.00,0.67,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.28,4.04,0.00
111,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.36,0.00,0.00,0.00,2.90,0.19,0.12,0.23,33.30,62.85,0.00
112,0.01,0.00,1.42,0.10,0.00,0.10,0.08,0.75,0.24,0.07,13.62,0.00,0.00,0.20,1.51,0.52,2.76,78.21,0.42
113,0.03,0.05,0.55,0.05,0.00,0.00,0.00,0.24,0.04,0.00,1.15,0.00,0.00,0.22,1.16,0.02,17.84,78.66,0.00
114,0.00,0.00,0.29,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.46,0.00,0.00,3.85,93.73,1.64
115,0.11,0.00,0.34,0.02,0.00,0.00,0.00,0.15,0.15,0.00,0.17,0.00,0.00,0.62,0.00,0.05,0.19,97.95,0.25
116,0.07,0.00,0.02,0.00,0.15,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,2.75,0.00,0.06,7.98,88.94,0.00
117,1.17,0.00,0.15,0.05,0.11,0.23,0.00,0.40,0.31,0.00,4.96,0.00,0.00,0.94,13.42,7.43,17.24,53.59,0.00
118,0.17,0.00,0.01,0.03,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.01,0.00,0.09,0.00,15.06,84.60,0.00
119,1.31,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.10,0.00,0.00,11.80,86.73,0.00
120,1.57,1.91,0.00,0.11,0.00,0.00,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.65,1.28,29.12,65.27,0.00
121,0.04,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.02,1.71,1.12,30.91,65.99,0.00
122,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,83.81,16.17
123,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,5.03,94.84,0.10
124,0.21,0.00,0.19,0.00,0.03,0.01,0.00,0.00,0.26,0.00,0.13,0.00,0.00,4.88,0.84,0.03,16.43,76.99,0.00
125,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.82,0.00
126,0.02,0.00,0.96,0.03,0.05,0.02,0.00,0.00,0.14,0.00,0.00,0.00,0.02,0.05,0.00,1.54,18.63,78.55,0.00
127,0.05,0.01,0.00,0.00,0.12,0.01,0.00,0.00,0.14,0.00,0.00,0.00,0.00,5.91,0.00,0.32,49.42,44.02,0.00
128,0.34,0.05,0.45,0.23,0.01,0.37,0.18,1.94,0.43,0.02,2.66,0.00,0.00,0.11,0.01,0.08,0.00,85.42,7.70
129,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.29,0.00,0.00,7.73,91.91,0.00
130,0.02,0.00,0.06,0.00,0.26,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,99.50,0.00
131,0.05,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.01,0.00,9.28,90.56,0.00
132,0.00,0.00,0.70,0.04,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.03,0.14,0.01,0.00,17.14,81.87,0.00
133,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.08,42.71,0.00
134,0.95,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.35,0.00,0.00,0.00,0.00,87.55,0.00,2.59,6.08,2.39,0.00
135,0.09,0.00,0.92,0.03,0.15,0.00,0.00,0.02,0.04,0.00,0.23,0.05,0.09,0.00,0.00,0.00,13.88,84.50,0.00
136,0.77,0.01,0.79,0.05,0.00,0.05,0.00,0.15,0.26,0.00,0.43,0.00,0.00,27.84,4.42,6.18,50.21,8.82,0.00
137,0.66,0.00,0.45,0.03,0.00,0.03,0.00,0.05,0.31,0.00,0.62,0.00,0.00,3.73,0.37,5.39,42.14,46.22,0.00
138,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.15,0.00,2.34,97.43,0.00
139,0.01,0.00,0.97,0.01,0.01,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.06,0.00,0.00,14.52,84.38,0.00
140,0.16,0.01,0.55,0.16,0.06,0.00,0.00,0.32,0.20,0.00,0.55,0.00,6.54,0.00,0.00,0.00,0.00,91.43,0.00
141,0.96,0.12,0.18,0.11,0.05,0.01,0.05,0.07,0.13,0.01,1.09,0.00,0.00,10.50,9.33,0.66,0.02,76.71,0.00
142,0.00,0.00,0.21,0.03,0.00,0.16,0.45,0.11,0.06,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,82.36,16.58
143,1.56,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.31,0.00,0.00,37.29,60.76,0.00
144,0.14,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.26,85.33,5.26
145,1.66,0.00,0.38,0.84,0.21,0.00,0.55,0.88,0.06,0.08,5.47,0.00,0.00,0.33,0.00,0.00,0.43,89.10,0.00
146,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.30,0.00,0.00,96.80,0.89,0.00
147,0.02,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.27,0.00,0.00,0.00,0.00,0.18,1.72,0.59,0.00,88.06,9.13
148,0.03,0.00,0.21,0.00,0.01,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.58,0.03,0.00,0.00,8.74,90.38,0.00
149,0.11,0.00,0.36,0.17,0.00,0.13,0.00,0.61,0.58,0.00,4.15,0.00,0.00,4.70,0.23,0.00,0.02,78.48,10.47
150,0.24,0.00,0.24,0.13,0.20,0.07,0.01,0.49,0.27,0.00,1.03,0.00,0.00,41.68,0.00,0.87,28.11,26.64,0.00
151,3.07,0.00,1.34,0.88,0.29,1.56,0.47,2.35,0.63,5.52,14.61,0.41,0.22,15.28,8.54,6.31,24.24,14.29,0.00
152,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.70,0.00,0.02,71.00,28.21,0.00
153,0.08,0.01,0.39,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.01,0.00,10.61,1.13,6.30,81.30,0.00
154,0.95,0.01,0.24,0.01,0.01,0.00,0.00,0.00,0.31,0.00,0.00,0.00,0.05,18.26,33.66,3.79,12.53,30.16,0.00
155,1.49,0.08,0.23,0.04,0.00,0.01,0.00,0.08,0.23,0.00,0.07,0.01,0.00,60.57,0.04,0.56,33.44,3.14,0.00
156,0.37,0.43,0.17,0.01,0.00,0.00,0.00,0.06,0.16,0.00,0.04,0.00,0.14,7.17,35.04,1.02,1.12,54.27,0.00
157,0.11,0.02,0.37,0.01,0.03,0.00,0.00,0.02,0.27,0.00,0.04,0.00,0.00,0.27,0.30,0.22,0.46,53.11,44.77
158,2.01,0.29,0.68,0.79,0.09,0.01,0.35,1.72,0.78,0.04,6.02,0.00,0.04,4.49,1.74,0.05,9.94,60.90,10.05
159,0.46,0.00,0.80,0.04,0.01,0.14,0.00,0.05,0.19,0.00,0.22,0.00,0.00,0.55,0.09,0.34,0.72,96.39,0.00
160,0.00,0.00,0.99,0.26,0.41,0.01,0.00,0.26,0.09,0.00,5.71,0.15,0.00,0.00,0.00,0.00,2.16,89.98,0.00
161,0.30,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,1.57,0.83,2.48,23.33,71.42,0.00
162,0.12,0.08,0.21,0.00,0.04,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,8.52,0.02,0.18,55.80,34.85,0.00
163,0.51,1.80,0.43,0.19,0.00,0.00,0.00,0.22,0.13,0.00,0.38,0.00,0.00,51.41,0.05,1.93,36.85,6.11,0.00
164,0.07,0.00,0.28,0.01,0.00,0.00,0.00,0.05,0.05,0.00,0.26,0.00,0.00,0.19,5.26,0.98,10.80,82.05,0.00
165,0.06,0.82,0.39,0.08,0.02,0.00,0.00,0.21,0.31,0.02,0.07,0.00,0.00,11.16,38.54,1.19,2.54,44.58,0.00
166,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,66.59,33.29,0.00
167,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.11,82.79
168,0.07,0.13,5.52,9.54,6.03,8.66,11.57,7.89,1.25,3.51,9.04,0.01,0.01,0.10,0.00,0.00,0.34,36.33,0.00
169,3.55,0.00,0.71,0.10,0.04,0.00,0.00,0.32,0.18,0.00,0.99,0.00,0.00,20.44,0.11,11.60,47.03,14.92,0.00
170,0.44,0.07,2.48,4.48,0.44,6.91,7.11,5.21,2.25,2.78,2.29,0.00,0.11,0.23,0.27,0.14,0.04,59.34,5.42
171,0.67,0.03,0.05,0.01,0.00,0.02,0.00,0.00,0.19,0.00,0.02,0.08,0.00,3.70,0.37,5.21,27.43,62.22,0.00
